type,arrLength,time,attempt
simdMul, 161000, 0.001589, 9
seqMulRed, 161000, 0.017563, 9
simdMulRed, 161000, 0.001328, 9
seqMul, 171000, 0.008511, 0
simdMul, 171000, 0.001693, 0
seqMulRed, 171000, 0.018637, 0
simdMulRed, 171000, 0.001406, 0
seqMul, 171000, 0.008546, 1
simdMul, 171000, 0.001689, 1
seqMulRed, 171000, 0.018616, 1
simdMulRed, 171000, 0.001424, 1
seqMul, 171000, 0.008516, 2
simdMul, 171000, 0.001739, 2
seqMulRed, 171000, 0.018591, 2
simdMulRed, 171000, 0.001445, 2
seqMul, 171000, 0.008510, 3
simdMul, 171000, 0.001705, 3
seqMulRed, 171000, 0.018578, 3
simdMulRed, 171000, 0.001416, 3
seqMul, 171000, 0.008494, 4
simdMul, 171000, 0.001694, 4
seqMulRed, 171000, 0.018687, 4
simdMulRed, 171000, 0.001417, 4
seqMul, 171000, 0.008493, 5
simdMul, 171000, 0.001695, 5
seqMulRed, 171000, 0.018599, 5
simdMulRed, 171000, 0.001407, 5
seqMul, 171000, 0.008501, 6
simdMul, 171000, 0.001689, 6
seqMulRed, 171000, 0.018626, 6
simdMulRed, 171000, 0.001431, 6
seqMul, 171000, 0.008496, 7
simdMul, 171000, 0.001688, 7
seqMulRed, 171000, 0.018676, 7
simdMulRed, 171000, 0.001430, 7
seqMul, 171000, 0.008520, 8
simdMul, 171000, 0.001689, 8
seqMulRed, 171000, 0.018590, 8
simdMulRed, 171000, 0.001406, 8
seqMul, 171000, 0.009527, 9
simdMul, 171000, 0.001822, 9
seqMulRed, 171000, 0.019999, 9
simdMulRed, 171000, 0.001431, 9
seqMul, 181000, 0.009018, 0
simdMul, 181000, 0.001794, 0
seqMulRed, 181000, 0.019674, 0
simdMulRed, 181000, 0.001489, 0
seqMul, 181000, 0.009005, 1
simdMul, 181000, 0.001787, 1
seqMulRed, 181000, 0.021554, 1
simdMulRed, 181000, 0.001848, 1
seqMul, 181000, 0.009013, 2
simdMul, 181000, 0.001970, 2
seqMulRed, 181000, 0.021371, 2
simdMulRed, 181000, 0.001807, 2
seqMul, 181000, 0.010369, 3
simdMul, 181000, 0.002150, 3
